,0,1,2,3,4,5,6,7,8
0,-4.474938889525571,-1.8875376750661046,-2.254414391791839,3.137941124849539,2.725586973212514,0.7661816503939958,-0.03259784374608674,-2.052373624246853,29.705849109795114
1,7.323714603523104,-5.966304220029983,-2.52936185708032,3.2547127303043815,2.575221445303774,0.8557111290881306,-0.03937520388499035,-2.063550389652848,29.72821932365374
2,9.165135320236889,-6.693743829060908,-2.166076790160083,3.2987233782647105,2.3873736632756777,0.9438345681030499,-0.04704621112605533,-2.0741137902966083,29.750768519845508
3,-4.576969711186734,-3.430154609410044,-1.0943820915576339,3.280403279606166,2.162503560998803,1.0303435584153982,-0.05561982464348417,-2.0840606860623576,29.773496762260557
4,-8.83740937083178,1.3206360693337569,0.37245410588942873,3.211903677391387,1.9036509308049145,1.1150296910018522,-0.06510463172369219,-2.093388308722155,29.796404114788995
5,-9.113675078859844,5.010804755377198,1.8263775839277734,3.1048104448283724,1.6144209348804444,1.197684556838996,-0.07550806108022579,-2.102095048620868,29.819490641321007
6,5.858969248837299,6.401038500191732,2.859334124304159,2.9707051569542204,1.2984230335827252,1.2780997469034774,-0.08683721447947527,-2.110179623050561,29.84275640574667
7,8.75883807381186,4.428108047275493,3.1436502909404607,2.821888818347211,0.9592666872691271,1.3560668521719905,-0.09909917244622117,-2.117640770544907,29.866201471956128
8,0.5295622427425413,-1.0705891949706225,2.6766460805431405,2.6700698476665727,0.6005613562969996,1.43137746362111,-0.11230093826410184,-2.124477306878703,29.889825903839547
9,-7.237854296725298,-5.982251048778258,1.5499034883318437,2.5137948767748393,0.2259165010236838,1.5038231722275173,-0.1264489359802234,-2.1306886270632677,29.91362976528702
10,-7.139345870673372,-5.910722550270354,-0.1352303073352119,2.348140233450135,-0.16105841819338496,1.5731955689678285,-0.14154784793577138,-2.1362758678158618,29.93761312018866
11,5.370962868639658,-0.4335436090983442,-2.156257144566937,2.1681822454705832,-0.5567539409969554,1.6392862448187286,-0.15760178040081965,-2.141240741924887,29.96177603243466
12,-4.538701208537673,5.597821401904831,-3.9004981131545837,1.9689972406143317,-0.9575606070295309,1.7018867907567807,-0.17461473798490126,-2.145585063839199,29.986118565915096
13,-2.1248641190230306,6.09781930298152,-4.769759378487245,1.7456615466594347,-1.3598689559338275,1.760788797758715,-0.19259069018839461,-2.149310683116943,30.010640784520124
14,3.7758321819395273,2.583931107265024,-4.644391004440384,1.4940624819983324,-1.7600695273524711,1.8157838568011027,-0.2115334847842797,-2.152419571043504,30.035342752139865
15,-0.0906075172694105,-1.831436990301562,-3.6628095384408925,1.214070360794932,-2.1545528609280797,1.8666635588606575,-0.2314467570044518,-2.1549139114455107,30.060224532664478
16,-1.59162375656411,-5.369332342486778,-2.0031053880056104,0.9093226210866091,-2.539709496303325,1.9132194949139585,-0.2523340759238372,-2.1567959543063804,30.085286189984036
17,-3.6841505058779296,-6.7666663914226195,0.1537279340182749,0.5841957342252907,-2.91192997312075,1.9552432559376218,-0.27419900590465707,-2.1580679543223877,30.11052778798872
18,3.416014143754185,-5.705276920162085,2.5689790837637796,0.24306617156310423,-3.2676048310231405,1.992526432908394,-0.2970451113091651,-2.1587321661897536,30.13594939056865
19,-3.062486505653715,-4.658896502278937,4.805526473519862,-0.10968959554799874,-3.603124609652964,2.024860616802805,-0.32087595649954576,-2.158790844604683,30.161551061613938
20,2.989188315365945,-0.27381379713835735,6.377186972618483,-0.4696950957559154,-3.9148798486530216,2.0520373985976144,-0.3456951058380528,-2.158246258645139,30.18733287939647
21,-3.4227416236732116,7.129024032379881,6.798704396411308,-0.8335008037283987,-4.199261087665809,2.07384832669367,-0.37150608111120126,-2.157100686821423,30.21329493162045
22,4.130975964155676,6.5922551014187,5.755635896026239,-1.1978613231336976,-4.452658866334021,2.0900811995640423,-0.3983086541776094,-2.1553562296472393,30.239437127993483
23,-4.660588416996495,-1.5895575146568899,3.6028877754002133,-1.5464435833467267,-4.671463724300312,2.100509236927973,-0.42608801814205066,-2.153014939541798,30.26575933012866
24,-0.6785213833087905,-6.7233145662841665,0.8624718901676424,-1.859410858664164,-4.852066201207286,2.10489974213999,-0.4548234497446582,-2.1500788689242225,30.29226139963904
25,1.9321980865289958,-5.71612829088084,-1.9631926532309814,-2.1169264233825658,-4.99085683669759,2.103015678928791,-0.48448987197312937,-2.1465500843402903,30.318943198137685
26,4.0568493485441826,-0.7955026889334664,-4.454610079894017,-2.2991535517986628,-5.08422617041389,2.094625687080799,-0.5150678062386282,-2.1424307299699006,30.345804587237637
27,-3.417721224287396,4.418383313679612,-6.230086703169553,-2.386255518209048,-5.1285647419987495,2.0795008421057184,-0.5465400899901963,-2.137723069678562,30.372845428552
28,-1.1702170818549404,5.440025421408742,-6.912481171169539,-2.3579458243905744,-5.12072581552464,2.0574253228080988,-0.5788895511295674,-2.1324295282637618,30.400065583693785
29,2.241490029726778,2.5972248559440922,-6.266393674812182,-2.2001370910695472,-5.059949292294557,2.0283078004269712,-0.6120986024864222,-2.1265528575863617,30.42746491427611
30,-0.0006389350660867852,-1.63991680712655,-4.623390576240324,-1.9302767933843445,-4.948088965269856,1.9923609673225333,-0.6461490644264967,-2.1200963799688117,30.455043281911998
31,-1.874523293766362,-4.367268166619579,-2.456603795379636,-1.5737777787711005,-4.7875672036542305,1.9498702886583459,-0.6810218406252985,-2.1130643344238744,30.48280054821451
32,2.1172228733776466,-3.5030351189501965,-0.196995297853574,-1.1560446854832145,-4.580814585834171,1.90112122959801,-0.7166971403404221,-2.105461654382256,30.510736574796727
33,1.1300916549646827,-0.518830512586195,1.8905129925730872,-0.7024821517740861,-4.330261690196157,1.8463992553051025,-0.7531547360077506,-2.097293710096307,30.538851223271713
34,-3.3937963578220054,2.423105388309679,3.5824651663443605,-0.23849481589712285,-4.038339095126617,1.7859898309431845,-0.7903741441179817,-2.088566127763561,30.567144355252506
35,-2.250912905838315,3.068868185239946,4.655405313904274,0.21051268389434521,-3.707477379012034,1.7201784216758078,-0.8283347893610603,-2.0792846253823236,30.59561583235217
36,5.23268758436,2.0465899106566905,4.9448291947067675,0.6191357093468696,-3.3401071202388546,1.649250492666574,-0.8670160329951292,-2.06945498438278,30.62426551618379
37,-3.590722162381371,0.536576782457268,4.5290733565336225,0.9643331481257365,-2.9386588971935836,1.573491509079093,-0.9063972155911623,-2.0590830068821586,30.65309326836043
38,-6.989116983412161,-0.5179472945828346,3.5726881780034376,1.2333922788982459,-2.505563288262623,1.493186936076876,-0.9464575963816327,-2.0481745763362693,30.68209895049513
39,-1.373773220497804,-0.44102167789669117,2.2517267679932718,1.4194610555589824,-2.0432508718324853,1.4086222388235201,-0.9871762129220447,-2.036735797877822,30.71128242420094
40,7.895776035247615,-0.12263930401035471,0.7796321971026844,1.5165617193297931,-1.5541522262896093,1.3200828824826147,-1.0285320487030392,-2.0247728307044843,30.74064355109097
41,4.393404773892761,-0.5224071705420635,-0.6088024923518884,1.5187264952366617,-1.0407079138246447,1.227854332217749,-1.0705041062391976,-2.012291814989933,30.77018219277825
42,-0.14008770870535667,-1.2954855933236702,-1.7221708585900812,1.42039700796857,-0.5057678962912258,1.1322220531924634,-1.1130714424247037,-1.9992988365281985,30.79989821087585
43,-6.90907470503594,-1.9541274600850542,-2.3849098521931906,1.2177652781924766,0.046067468479067786,1.0334715105703178,-1.1562131114288077,-1.9857999838383267,30.829791466996845
44,-5.396314283856334,-2.040933334123352,-2.4617019452218867,0.9106457367020501,0.6083665782789178,0.9318881695149631,-1.1999081705415287,-1.9718013423185203,30.85986182275424
45,-2.087929580082865,-1.531280765409195,-1.999420301644022,0.5136066006060791,1.1727890270005157,0.8277574951898861,-1.2441356799642957,-1.957308994455626,30.890109139761165
46,3.753303622948589,-0.8280912375179977,-1.1835892320406232,0.06633625408581595,1.7303866848575424,0.7213649527587374,-1.288874699084984,-1.9423290235500639,30.920533279630664
47,0.11625175815573112,0.16882724319275763,-0.2245027498183526,-0.3844844611041924,2.270899283901093,0.6129960073850732,-1.3341042851872218,-1.9268675150064074,30.95113410397576
48,-1.573742846550633,0.9559567601698736,0.6675734354670316,-0.7901847015308356,2.7820765545037762,0.5029361242324053,-1.3798034947685618,-1.91093055501538,30.981911474409564
49,0.7333724766916002,1.3490848562606355,1.283068336036296,-1.1031908294111357,3.2527654326882107,0.39147076846439216,-1.4259513860303383,-1.8945242280639296,31.012865252545133
